Fluorophore,Type,Wavelength,RelativeIntensity
AlexaFluor350,Excitation,300,0
AlexaFluor350,Emission,375,0
AlexaFluor350,Excitation,300,41.54
AlexaFluor350,Emission,375,0.38
AlexaFluor350,Excitation,301,40.96
AlexaFluor350,Emission,376,0.45
AlexaFluor350,Excitation,302,41.07
AlexaFluor350,Emission,377,0.49
AlexaFluor350,Excitation,303,41.27
AlexaFluor350,Emission,378,0.56
AlexaFluor350,Excitation,304,40.99
AlexaFluor350,Emission,379,0.64
AlexaFluor350,Excitation,305,41.575
AlexaFluor350,Emission,380,0.765
AlexaFluor350,Excitation,306,42.01
AlexaFluor350,Emission,381,0.98
AlexaFluor350,Excitation,307,42.045
AlexaFluor350,Emission,382,1.13
AlexaFluor350,Excitation,308,42.62
AlexaFluor350,Emission,383,1.385
AlexaFluor350,Excitation,309,43.345
AlexaFluor350,Emission,384,1.73
AlexaFluor350,Excitation,310,43.695
AlexaFluor350,Emission,385,2.035
AlexaFluor350,Excitation,311,44.31
AlexaFluor350,Emission,386,2.58
AlexaFluor350,Excitation,312,44.775
AlexaFluor350,Emission,387,3.035
AlexaFluor350,Excitation,313,45.535
AlexaFluor350,Emission,388,3.625
AlexaFluor350,Excitation,314,46.565
AlexaFluor350,Emission,389,4.11
AlexaFluor350,Excitation,315,46.7
AlexaFluor350,Emission,390,4.715
AlexaFluor350,Excitation,316,47.625
AlexaFluor350,Emission,391,5.17
AlexaFluor350,Excitation,317,48.74
AlexaFluor350,Emission,392,5.735
AlexaFluor350,Excitation,318,49.365
AlexaFluor350,Emission,393,6.36
AlexaFluor350,Excitation,319,50.31
AlexaFluor350,Emission,394,7.09
AlexaFluor350,Excitation,320,51.67
AlexaFluor350,Emission,395,7.75
AlexaFluor350,Excitation,321,53.1
AlexaFluor350,Emission,396,8.895
AlexaFluor350,Excitation,322,55.31
AlexaFluor350,Emission,397,9.855
AlexaFluor350,Excitation,323,57.36
AlexaFluor350,Emission,398,10.965
AlexaFluor350,Excitation,324,59.13
AlexaFluor350,Emission,399,12.075
AlexaFluor350,Excitation,325,62.105
AlexaFluor350,Emission,400,13.455
AlexaFluor350,Excitation,326,64.285
AlexaFluor350,Emission,401,14.91
AlexaFluor350,Excitation,327,67.38
AlexaFluor350,Emission,402,16.54
AlexaFluor350,Excitation,328,70.885
AlexaFluor350,Emission,403,18.14
AlexaFluor350,Excitation,329,73.8
AlexaFluor350,Emission,404,20.06
AlexaFluor350,Excitation,330,77.25
AlexaFluor350,Emission,405,22.05
AlexaFluor350,Excitation,331,80.2
AlexaFluor350,Emission,406,24.3
AlexaFluor350,Excitation,332,83.095
AlexaFluor350,Emission,407,26.43
AlexaFluor350,Excitation,333,86.34
AlexaFluor350,Emission,408,28.705
AlexaFluor350,Excitation,334,87.79
AlexaFluor350,Emission,409,31.045
AlexaFluor350,Excitation,335,90.71
AlexaFluor350,Emission,410,33.535
AlexaFluor350,Excitation,336,92.745
AlexaFluor350,Emission,411,35.875
AlexaFluor350,Excitation,337,94.83
AlexaFluor350,Emission,412,38.49
AlexaFluor350,Excitation,338,96.06
AlexaFluor350,Emission,413,41.235
AlexaFluor350,Excitation,339,97.855
AlexaFluor350,Emission,414,43.945
AlexaFluor350,Excitation,340,98.52
AlexaFluor350,Emission,415,47.015
AlexaFluor350,Excitation,341,98.99
AlexaFluor350,Emission,416,49.93
AlexaFluor350,Excitation,342,99.52
AlexaFluor350,Emission,417,52.74
AlexaFluor350,Excitation,343,100
AlexaFluor350,Emission,418,55.82
AlexaFluor350,Excitation,344,99.62
AlexaFluor350,Emission,419,59.24
AlexaFluor350,Excitation,345,99.105
AlexaFluor350,Emission,420,61.8
AlexaFluor350,Excitation,346,98.28
AlexaFluor350,Emission,421,65.2
AlexaFluor350,Excitation,347,97.915
AlexaFluor350,Emission,422,67.735
AlexaFluor350,Excitation,348,96.975
AlexaFluor350,Emission,423,71.045
AlexaFluor350,Excitation,349,95.54
AlexaFluor350,Emission,424,74.165
AlexaFluor350,Excitation,350,94.855
AlexaFluor350,Emission,425,77.365
AlexaFluor350,Excitation,351,93.115
AlexaFluor350,Emission,426,79.815
AlexaFluor350,Excitation,352,91.6
AlexaFluor350,Emission,427,82.42
AlexaFluor350,Excitation,353,90.37
AlexaFluor350,Emission,428,84.47
AlexaFluor350,Excitation,354,88.82
AlexaFluor350,Emission,429,86.845
AlexaFluor350,Excitation,355,88.04
AlexaFluor350,Emission,430,89.325
AlexaFluor350,Excitation,356,87.105
AlexaFluor350,Emission,431,91.4
AlexaFluor350,Excitation,357,85.75
AlexaFluor350,Emission,432,92.76
AlexaFluor350,Excitation,358,84.545
AlexaFluor350,Emission,433,94.58
AlexaFluor350,Excitation,359,83.41
AlexaFluor350,Emission,434,95.86
AlexaFluor350,Excitation,360,81.955
AlexaFluor350,Emission,435,97.045
AlexaFluor350,Excitation,361,80.35
AlexaFluor350,Emission,436,97.54
AlexaFluor350,Excitation,362,78.91
AlexaFluor350,Emission,437,98.76
AlexaFluor350,Excitation,363,77.61
AlexaFluor350,Emission,438,99.135
AlexaFluor350,Excitation,364,74.89
AlexaFluor350,Emission,439,99.46
AlexaFluor350,Excitation,365,73.075
AlexaFluor350,Emission,440,99.31
AlexaFluor350,Excitation,366,70.595
AlexaFluor350,Emission,441,100.365
AlexaFluor350,Excitation,367,67.81
AlexaFluor350,Emission,442,100
AlexaFluor350,Excitation,368,65.22
AlexaFluor350,Emission,443,99.67
AlexaFluor350,Excitation,369,62.385
AlexaFluor350,Emission,444,99.955
AlexaFluor350,Excitation,370,59.16
AlexaFluor350,Emission,445,99.585
AlexaFluor350,Excitation,371,55.675
AlexaFluor350,Emission,446,99.115
AlexaFluor350,Excitation,372,51.84
AlexaFluor350,Emission,447,98.62
AlexaFluor350,Excitation,373,48.405
AlexaFluor350,Emission,448,98.44
AlexaFluor350,Excitation,374,44.88
AlexaFluor350,Emission,449,97.51
AlexaFluor350,Excitation,375,41.735
AlexaFluor350,Emission,450,96.295
AlexaFluor350,Excitation,376,38.69
AlexaFluor350,Emission,451,95.785
AlexaFluor350,Excitation,377,35.95
AlexaFluor350,Emission,452,94.78
AlexaFluor350,Excitation,378,32.89
AlexaFluor350,Emission,453,94.52
AlexaFluor350,Excitation,379,30.15
AlexaFluor350,Emission,454,93.365
AlexaFluor350,Excitation,380,27.655
AlexaFluor350,Emission,455,92.625
AlexaFluor350,Excitation,381,25.11
AlexaFluor350,Emission,456,91.415
AlexaFluor350,Excitation,382,22.87
AlexaFluor350,Emission,457,90.895
AlexaFluor350,Excitation,383,20.73
AlexaFluor350,Emission,458,89.76
AlexaFluor350,Excitation,384,18.82
AlexaFluor350,Emission,459,88.51
AlexaFluor350,Excitation,385,16.935
AlexaFluor350,Emission,460,87.19
AlexaFluor350,Excitation,386,15.38
AlexaFluor350,Emission,461,85.745
AlexaFluor350,Excitation,387,13.765
AlexaFluor350,Emission,462,84.23
AlexaFluor350,Excitation,388,12.22
AlexaFluor350,Emission,463,82.57
AlexaFluor350,Excitation,389,11.05
AlexaFluor350,Emission,464,80.96
AlexaFluor350,Excitation,390,9.52
AlexaFluor350,Emission,465,79.84
AlexaFluor350,Excitation,391,8.305
AlexaFluor350,Emission,466,77.945
AlexaFluor350,Excitation,392,7.035
AlexaFluor350,Emission,467,75.375
AlexaFluor350,Excitation,393,6.105
AlexaFluor350,Emission,468,73.49
AlexaFluor350,Excitation,394,5.215
AlexaFluor350,Emission,469,72.06
AlexaFluor350,Excitation,395,4.46
AlexaFluor350,Emission,470,70.275
AlexaFluor350,Excitation,396,3.865
AlexaFluor350,Emission,471,68.59
AlexaFluor350,Excitation,397,3.4
AlexaFluor350,Emission,472,66.41
AlexaFluor350,Excitation,398,2.93
AlexaFluor350,Emission,473,64.955
AlexaFluor350,Excitation,399,2.565
AlexaFluor350,Emission,474,63.41
AlexaFluor350,Excitation,400,2.21
AlexaFluor350,Emission,475,61.88
AlexaFluor350,Excitation,400,0
AlexaFluor350,Emission,476,60.315
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,477,59.165
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,478,57.115
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,479,55.62
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,480,54
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,481,51.91
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,482,50.34
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,483,48.695
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,484,47.015
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,485,45.52
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,486,43.815
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,487,42.44
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,488,41.055
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,489,39.685
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,490,38.29
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,491,36.96
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,492,35.54
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,493,34.365
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,494,33.405
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,495,32.3
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,496,31.16
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,497,30.01
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,498,28.885
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,499,27.755
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,500,26.87
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,501,25.82
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,502,24.94
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,503,23.74
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,504,22.83
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,505,21.805
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,506,21.035
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,507,20.1
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,508,19.485
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,509,18.695
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,510,17.78
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,511,17.25
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,512,16.21
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,513,15.65
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,514,15.085
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,515,14.485
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,516,13.805
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,517,12.95
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,518,12.455
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,519,11.955
AlexaFluor350,Excitation,NA,NA
AlexaFluor350,Emission,520,11.44
AlexaFluor350,Excitation,NA,NA
